original_title,runtime,tagline,vote_average
A Night at the Roxbury,81,Score!,5.9
Beastly,86,Love is never ugly.,6
The Hills Have Eyes,107,The lucky ones die first.,6.1
Dickie Roberts: Former Child Star,98,50 million people used to watch him on TV. Now he washes their cars.,5.1
McFarland  USA,128,Champions Can Come From Anywhere.,7.4
Lottery Ticket,99,Winning is Just the Beginning Surviving is Another Story,5.6
ATL,105,A New American Story,6
Pitch Perfect,112,Get pitch slapped.,7.3
Summer Catch,108,Are you game?,4.8
A Simple Plan,121,Sometimes good people do evil things.,6.9
They,89,Are you afraid of the dark? You should be.,4.6
Larry the Cable Guy: Health Inspector,89,xyz,3.3
The Adventures of Elmo in Grouchland,73,The Good  The Bad and The Stinky.,6.3
Brooklyn's Finest,133,This is War. This is Brooklyn.,6.2
55 Days at Peking,154,A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics!,6.3
Evil Dead,91,The most terrifying film you will ever experience.,6.4
My Life in Ruins,95,The most fun you can have without a passport.,5.6
American Dreamz,107,Imagine a country where more people vote for a pop idol than they do for their next President.,4.9
Superman IV: The Quest for Peace,90,Nuclear Power. In the best hands  it is dangerous. In the hands of Lex Luthor  it is pure evil. This is Superman's greatest battle. And it is for all of us.,4.1
How She Move,94,xyz,3
Running Scared,122,Every bullet leaves a trail.,7
Bobby Jones: Stroke of Genius,120,xyz,5.5
Shanghai Surprise,97,A romantic adventure for the dangerous at heart.,2.9
The Illusionist,110,Nothing Is What It Seems.,7.1
Roar,102,No animals were harmed in the making of this movie. 70 members of the cast and crew were.,5.6
Veronica Guerin,98,Why would anyone want to kill Veronica Guerin?,6.8
Escobar: Paradise Lost,120,Welcome to the family,6.1
Southland Tales,144,Have a nice apocalypse.,5.2
Chasseurs de dragons,80,Dragon hunting isn't a fairy tale,6.5
Damnation Alley,91,xyz,5
The Apparition,82,Once You Believe You Die,4.5
My Girl,102,When your Dad's an undertaker  your Mom's in heaven  and your Grandma's got a screw loose...it's good to have a friend who understands you. Even if he is a boy.,7
Fur: An Imaginary Portrait of Diane Arbus,122,A love story.,5.8
Wall Street,126,Every dream has a price.,7
Sense and Sensibility,136,Lose your heart and come to your senses.,7.2
Becoming Jane,120,Her own life is her greatest inspiration.,6.9
Sydney White,108,Freshman year is no fairytale,6
House of Sand and Fog,126,Some dreams can't be shared.,7
Dead Poets Society,129,He was their inspiration. He made their lives extraordinary.,8.1
Dumb and Dumber,107,What the one doesn't have  the other is missing.,6.5
When Harry Met Sally...,96,Can two friends sleep together and still love each other in the morning?,7.3
The Verdict,129,The doctors want to settle  the Church wants to settle  their lawyers want to settle  and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case.,7.4
Road Trip,93,The greatest college tradition of all.,5.9
Varsity Blues,106,It takes a hero to know what's worth winning.,6
The Artist,100,A Breath Of Fresh Vintage Air,7.3
The Unborn,87,Evil will do anything to live.,4.8
Moonrise Kingdom,94,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,7.6
The Texas Chainsaw Massacre: The Beginning,91,What you know about fear... doesn't even come close.,5.9
The Young Messiah,120,Before he was the savior  he was a child.,6.4
The Master of Disguise,80,He can get into any disguise... getting out is another story.,3.7
El laberinto del fauno,118,What happens when make-believe believes it's real?,7.6
See Spot Run,94,The Smart One Isn't Wearing Any Pants.,4.8
Baby Boy,130,Just a Baby Boy.,7.4
The Roommate,91,2 000 colleges. 8 million roommates. Which one will you get?,5.3
Joe Dirt,91,He Came. He Cleaned. He Conquered.,5.5
Double Impact,110,Two brothers separated by the violence. Now together in a mission of revenge.,5.3
Hot Fuzz,121,Big cops. Small town. Moderate violence.,7.4
The Women,114,xyz,4.6
Vicky Cristina Barcelona,96,Life is the ultimate work of art,6.7
Arn: Tempelriddaren,139,A Knight in the Holy Land. A Woman in the Frozen North. A War that Kept Them Apart.,6.4
Boys and Girls,94,Warning: Sex Changes Everything,5.4
White Oleander,109,xyz,7.2
Jennifer's Body,100,She's evil... and not just high school evil.,5.3
Drowning Mona,96,The death of Mona Dearly wasn't so much a whodunnit  as a who didn't.,5.4
Radio Days,90,xyz,7
Remember Me,113,Live in the moments.,6.9
How to Deal,99,Rule #1 There are no rules.,5.7
My Stepmother is an Alien,108,Man's closest encounter.,5.3
Philadelphia,125,No one would take on his case... until one man was willing to take on the system.,7.6
The Thirteenth Floor,100,Question reality. You can go there even though it doesn't exist.,6.8
The Cookout,97,This summer  get your grill on!,4.6
Meteor,107,There's No Place On Earth To Hide!,5.1
Duets,112,Six littles souls in search of a little harmony.,5.5
Hollywood Ending,112,It's going to be a shot in the dark!,6.4
Detroit Rock City,95,Kiss The Rules Goodbye.,6.7
Highlander,116,There can be only one.,6.8
Things We Lost in the Fire,113,Hope comes with letting go.,6.7
Steel,97,Heroes don't come any bigger.,4.3
The Immigrant,117,xyz,6.2
The White Countess,135,xyz,6.9
Trance,101,Don't be a hero.,6.5
Soul Plane,86,Announcing the arrival of the first airline with soul.,4.7
Bienvenue chez les ch'tis,106,xyz,6.8
Good,96,Anything that makes people happy can't be bad can it?,6.3
Enter the Void,161,xyz,7.2
Vamps,93,Dating Sucks,4.8
Hachi: A Dog's Tale,93,A true story of faith  devotion and undying love.,7.7
Zulu,110,xyz,6.7
The Homesman,122,xyz,6.4
Juwanna Mann,91,xyz,4.2
Ararat,115,xyz,5.7
Madison,99,A town's future is riding with one man.,5.3
Slow Burn,93,The truth is just a trick of light.,5.5
Wasabi,94,For those who take their action raw.,6.2
Slither,95,Horror Has A New Face,6.3
Beverly Hills Cop,105,The Heat Is On!,6.8
Home Alone,103,A Family Comedy Without the Family.,7.1
Three Men and a Baby,102,They changed her diapers. She changed their lives.,5.8
Tootsie,116,What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.,6.9
Top Gun,110,Up there with the best of the best.,6.7
卧虎藏龙,120,A timeless story of strength  secrets and two warriors who would never surrender.,7.2
American Beauty,122,Look closer.,7.9
The King's Speech,118,Find your voice.,7.6
Twins,107,Only their mother can tell them apart.,5.7
The Yellow Handkerchief,102,xyz,6.4
The Color Purple,154,It's about life. It's about love. It's about us.,7.7
해운대,120,xyz,6.5
The Imitation Game,113,The true enigma was the man who cracked the code.,8
Private Benjamin,109,xyz,6
Coal Miner's Daughter,125,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.,7.2
Diary of a Wimpy Kid,92,It's not a diary  it's a movie.,5.9
Mama,100,A Mother's Love is Forever,6
National Lampoon's Vacation,98,Every summer Chevy Chase takes his family on a little trip. This year he went too far.,7.1
Jackass Presents: Bad Grandpa,92,Real people. Real reactions. Real messed up.,6
The Queen,103,Our Leaders. Ourselves.,6.8
Beetlejuice,92,He's guaranteed to put some life in your afterlife.,7.1
Why Did I Get Married?,113,Because we complete each other's sentences.,6.1
Little Women,115,The story that has lived in our hearts for generations  now comes to the screen for the holidays.,7
The Woman in Black,95,What did they see?,6.1
When a Stranger Calls,87,Whatever You Do  Don't Answer The Phone.,5.4
Big Fat Liar,88,The truth is never overrated,5.6
The Deer Hunter,183,One of the most important and powerful films of all time!,7.8
Wag the Dog,97,A comedy about truth  justice and other special effects.,6.7
The Lizzie McGuire Movie,94,The only risk in taking an adventure is not taking it at all.,5.7
Snitch,112,How far would you go to save your son?,5.8
Krampus,98,You don't want to be on his list.,5.9
The Faculty,104,Take me to your teacher.,6.2
What's Love Got to Do with It,118,Who needs a heart when a heart can be broken?,6.9
Cop Land,104,No One Is Above The Law.,6.6
Not Another Teen Movie,89,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.,5.5
End of Watch,109,Every moment of your life they stand watch,7.2
The Skulls,106,Getting in is easy. Getting out is a killer.,5.8
The Theory of Everything,123,His Mind Changed Our World. Her Love Changed His.,7.8
Malibu's Most Wanted,86,xyz,4.7
Where the Heart Is,120,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,6.9
Lawrence of Arabia,216,xyz,7.8
Halloween II,105,Family Is Forever,5.1
Wild,115,xyz,7
The Last House on the Left,110,If someone hurt someone you love  how far would you go to get revenge?,6.2
The Wedding Date,88,Love doesn't come cheap.,6.2
Halloween: Resurrection,94,Evil finds its way home,4.5
The Princess Bride,98,It's as real as the feelings you feel.,7.6
The Great Debaters,126,When the nation was in need  he inspired them to give us hope.,6.9
Drive,100,There are no clean getaways.,7.4
Confessions of a Teenage Drama Queen,89,She's making a scene over everything.,5.1
The Object of My Affection,111,Sometimes The Most Desirable Relationship Is The One You Can't Have,5.6
28 Weeks Later,100,When days turn to weeks... the horror returns.,6.5
When the Game Stands Tall,115,Its Not How Hard You Fall  Its How You Get Back Up,6.3
Because of Winn-Dixie,106,Discover what happens when you go looking for a miracle and a miracle comes looking for you.,6.1
Love & Basketball,124,All's fair in love and basketball.,7.4
Grosse Pointe Blank,107,Even a hit man deserves a second shot.,6.9
All About Steve,99,A Comedy That Clings,4.7
Book of Shadows: Blair Witch 2,90,Evil Doesn't Die.,4.3
The Craft,101,Welcome to the witching hour.,6.3
Match Point,124,Passion Temptation Obsession,7.3
Ramona and Beezus,103,A Little Sister Goes A Long Way.,6.1
The Remains of the Day,134,Diamond in the Rough,7.5
Boogie Nights,155,The life of a dreamer  the days of a business  and the nights in between.,7.5
Nowhere to Run,94,When the law can't protect the innocent   the only hero left is an outlaw.,5.5
Flicka,95,xyz,6.1
The Hills Have Eyes II,89,Help isn't coming.,5.2
Urban Legends: Final Cut,97,Legends Never Die.,4.4
Tuck Everlasting,90,If you could choose to live forever  would you?,6.4
The Marine,92,War is Fine But The Fight Continues,5
Keanu,94,Kitten  please.,6
Country Strong,117,It doesn't matter where you've been as long as you come back strong.,5.9
Disturbing Behavior,84,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.,5.5
The Place Beyond the Pines,140,If you ride like lightning you're gonna crash like thunder,6.8
The November Man,108,A spy is never out of the game.,6
Eye of the Beholder,109,Obsession is in the eye of the beholder.,5.3
The Hurt Locker,131,You'll know when you're in it.,7.2
Firestarter,114,Will she have the power... to survive?,5.9
Killing Them Softly,97,In America you're on your own.,5.8
A Most Wanted Man,121,xyz,6.5
Freddy Got Fingered,87,A touching story of a young man who desperately wants to make his daddy proud.,4.6
VeggieTales: The Pirates Who Don't Do Anything,85,xyz,5.9
U2 3D,85,Hear See Experience,6.7
Highlander: Endgame,87,It will take two immortals to defeat the ultimate evil. But in the end  there can be only one.,4.4
Idlewild,121,xyz,5.1
One Day,107,Twenty years. Two people.,7
Whip It,111,Be Your Own Hero,6.7
Knockaround Guys,92,If they don't finish the job  their fathers will finish them.,5.9
Confidence,97,It's not about the money. It's about the money.,6.4
The Muse,97,In Goddess we trust.,5.3
De-Lovely,125,xyz,6.3
New York Stories,124,One city  three stories tall.,6.2
Barney's Great Adventure,76,xyz,2.9
The Man with the Iron Fists,96,You can't spell Kung Fu without F and U!,5.2
Home Fries,93,A long shot romance in a short order world.,4.8
Here On Earth,96,xyz,5.4
Brazil,132,It's only a state of mind.,7.5
Raise Your Voice,103,Don't Hold Back ...Don't Give Up.,6
The Big Lebowski,117,Times like these call for a Big Lebowski.,7.8
Black Snake Moan,116,To save his soul he must save hers.,6.6
Dark Blue,118,1992  L.A is at boiling point. One cop's turning up the heat,6.5
A Mighty Heart,100,One woman dared to keep hope alive,6.7
Whatever It Takes,94,How low will they go to get the girls of their dreams?,5
Boat Trip,94,... once you're on  you'll want to get off...,4.7
The Importance of Being Earnest,97,Everybody Loves Ernest... But Nobody's Quite Sure Who He Really Is.,6.7
The Love Letter,98,A letter from the past would change their future forever.,4.7
Hoot,91,It's time to stand up for the little guys.,5.5
In Bruges,107,Shoot first. Sightsee later.,7.4
Peeples,95,xyz,5.6
The Rocker,102,Opportunity rocks.,5.6
Post Grad,89,A Pre-Life Crisis.,5
Promised Land,106,What's your price?,6
Whatever Works,92,A new comedy,6.8
The In Crowd,105,What would you do to get in?,4.7
The Three Burials of Melquiades Estrada,121,Nobody is beyond redemption.,7
Jakob the Liar,120,When all hope was lost  he invented it.,6
Kiss Kiss Bang Bang,103,SeX. MurdEr. MyStery. Welcome to the party.,7.2
Idle Hands,92,The touching story of a boy and his right hand.,6.1
Mulholland Drive,147,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,7.6
Blood and Chocolate,98,The hunt never tasted so sweet.,5.4
You Will Meet a Tall Dark Stranger,98,xyz,5.8
Never Let Me Go,104,These students have everything they need. Except time.,6.8
The Company,276,xyz,7
Transsiberian,111,You can't escape your lies.,6.5
The Clan of the Cave Bear,98,At The Dawn Of Mankind  A Woman Led The Way.,4.8
Crazy in Alabama,111,xyz,6.5
Funny Games,112,Let the games begin...,6.3
Listening,100,Hide your thoughts.,5.5
Felicia's Journey,116,xyz,6.6
Metropolis,153,There can be no understanding between the hands and the brain unless the heart acts as mediator.,8
Banlieue 13,84,Welcome to District B13. Welcome to the future,6.5
Things to Do in Denver When You're Dead,116,Protect. Love. Honor. Avenge.,6.7
刺客聶隱娘,105,xyz,6.6
Buffalo Soldiers,98,War is hell... but peace is f*#!%!! boring.,6.5
Возвращение,105,xyz,7.4
Ong Bak 2,98,Warrior. Conqueror. Legend.,6
Centurion,97,History is written in blood,5.9
Silent Trigger,93,The Terms are Clear. Kill or be Killed.,5
The Midnight Meat Train,98,The most terrifying ride you'll ever take,6
Winnie Mandela,107,Her courage inspired a nation.,5.2
The Son of No One,90,Serve. Protect. Lie.,4.8
All The Queen's Men,99,xyz,6.1
The Good Night,93,Dreaming is believing.,5.7
Bathory,141,xyz,5.6
Khumba,85,Half a zebra  a whole lot of adventure!,5.8
Autómata,110,Your time is coming to an end – Ours is now beginning,5.6
Dungeons & Dragons: Wrath of the Dragon God,105,xyz,4.8
Chiamatemi Francesco - Il Papa della gente,190,xyz,7.3
新宿事件,119,They destroyed his life... Now he'll destroy them all.,6.7
Pandaemonium,124,xyz,4.5
Groundhog Day,101,He's having the worst day of his life... over  and over...,7.4
Magic Mike XXL,115,Back to the grind.,6.3
Romeo + Juliet,120,My only love sprung from my only hate.,6.7
Elle s'appelait Sarah,111,xyz,7.2
Freedom,98,John Newton's Amazing Grace,5.8
Unforgiven,131,Some legends will never be forgotten. Some wrongs can never be forgiven.,7.7
Manderlay,139,Liberation. Whether They Want It Or Not.,6.9
Slumdog Millionaire,120,What does it take to find a lost love? A. Money  B. Luck  C. Smarts  D. Destiny,7.6
Fatal Attraction,119,A look that led to an evening. A mistake he'll regret...FOR THE REST OF HIS LIFE.,6.6
Pretty Woman,119,Who knew it was so much fun to be a hooker?,7
Crocodile Dundee II,110,The world's favourite adventurer is back for more! much more!,5.5
Broken Horses,101,xyz,5
Born on the Fourth of July,145,A story of innocence lost and courage found.,6.7
Cool Runnings,98,One dream. Four Jamaicans. Twenty below zero.,6.8
My Bloody Valentine,101,He's gonna break your heart.,5.3
Stomp the Yard,114,He will challenge their traditions. Their traditions will change his life.,6.1
The Spy Who Loved Me,125,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,6.6
Urban Legend,99,It Happened To Someone Who Knows Someone You Know... You're Next.,5.6
Good Deeds,111,Wesley Deeds is About to Discover the Person He Was Meant to Be.,6.2
White Fang,107,Where civilization ends  their journey begins.,6.5
Superstar,81,Dare to dream.,5.1
The Iron Lady,105,Never Compromise,6.2
Jonah: A VeggieTales Movie,82,Fresh Fish. Mixed Vegetables.,6.4
Poetic Justice,109,A Street Romance.,6.9
All About the Benjamins,95,Money can make people do funny things.,5.8
Vampire in Brooklyn,100,A comic tale of horror and seduction.,4.5
Exorcist II: The Heretic,118,It's four years later... what does she remember?,4.5
An American Haunting,83,Possession Knows No Bounds,5.3
My Boss's Daughter,83,xyz,4.4
A Perfect Getaway,98,Welcome to paradise. Enter at your own risk.,6.2
Our Family Wedding,103,To have and to hold... 'Til dads do us part.,5.7
Dead Man on Campus,96,xyz,5.6
Tea with Mussolini,117,xyz,5.8
Thinner,92,Let the curse fit the crime.,5.5
New York  New York,155,xyz,6.1
Crooklyn,115,xyz,6.7
I Think I Love My Wife,90,In marriage no one can hear you scream.,5
Jason X,91,Evil has an upgrade.,4.5
Bobby,120,He saw wrong and tried to right it. He saw suffering and tried to heal it. He saw war and tried to stop it.,6.4
Head Over Heels,86,Unleash your inner model.,5.3
Fun Size,87,Some people just can't handle Halloween.,5.5
Le scaphandre et le papillon,112,Let your imagination set you free,7.4
Little Children,136,xyz,6.9
Gossip,90,It can turn you on  or turn on you.,5.5
A Walk on the Moon,107,It was the summer of Woodstock... when she became the woman she always wanted to be.,6.2
Catch a Fire,101,The spark that ignites us  unites us.,6.4
Soul Survivors,84,xyz,4.4
Jefferson in Paris,139,A powerful man torn between his love for one woman and his secret desire for another.,5.2
Easy Virtue,93,Let's Misbehave!,6.3
Caravans,127,xyz,5.8
Mr. Turner,150,xyz,6.3
Les herbes folles,104,xyz,5.8
Amen.,132,Two Men   Two Worlds   One Cause,7.1
剑雨,117,xyz,6.7
The Lucky Ones,113,xyz,6.3
Margaret,149,xyz,6.1
Stan Helsing,90,The most feared monsters in cinematic history have met their match...,4
Flipped,89,You never forget your first love.,7.4
Brokeback Mountain,134,Love is a force of nature.,7.5
Clueless,97,Sex. Clothes. Popularity. Is there a problem here?,6.9
Far from Heaven,107,It's time to stop hiding from the truth.,6.9
Hot Tub Time Machine 2,93,The Laws of Space and Time are About to be Violated.,5
Quills,124,There are no bad words... only bad deeds.,6.8
Seven Psychopaths,110,They Won't Take Any Shih Tzu.,6.7
The Caveman's Valentine,105,xyz,6
Der Untergang,156,April 1945  a nation awaits its...Downfall,7.7
Mar adentro,125,Sensitive Drama About a Polemic Theme,7.2
Under the Skin,108,A mysterious seductress preys upon the population of Scotland,6
Good Morning  Vietnam,121,Time to rock it from the Delta to the DMZ!,7.1
The Last Godfather,100,xyz,4.7
Justin Bieber: Never Say Never,105,Find out what's possible if you never give up.,4.8
Black Swan,108,In the era of personal branding  the scariest possibility is that someone might be better at being you than you are.,7.3
The Godfather: Part II,200,I don't feel I have to wipe everybody out  Tom. Just my enemies.,8.3
Save the Last Dance,112,The Only Person You Need To Be Is Yourself.,6.3
A Nightmare on Elm Street 4: The Dream Master,99,Terror beyond your wildest dreams.,5.8
Miracles from Heaven,117,How do we explain the impossible?,6.7
Dude  Where’s My Car?,83,After a night they can't remember  comes a day they'll never forget.,5.2
Young Guns,107,Six reasons why the west was wild.,6.6
St. Vincent,102,Love Thy Neighbor,7.1
About Last Night,100,It's about compromise. It's about love. It's about a good wingman.,6
10 Things I Hate About You,97,How do I loathe thee? Let me count the ways.,7.3
The New Guy,88,A zero will rise.,5.7
National Lampoon's Loaded Weapon 1,84,See it before they make the sequel!,5.7
The Shallows,86,What was once in the deep is now in the shallows.,6.2
The Butterfly Effect,113,Such minor changes  such huge consequences.,7.3
Snow Day,89,Roads closed. Schools shut. Rules were made to be frozen!,4.8
This Christmas,117,You can't exchange family.,7.1
Baby Geniuses,97,Think innocent. Think helpless. Think again. Naps are history.,3.3
The Big Hit,91,Nothing's more dangerous than some nice guys... with a little time to kill.,6.1
Harriet the Spy,100,On your case!,5.7
Child's Play 2,84,Look out Jack! Chucky's back!,5.8
No Good Deed,83,First he gets into your house. Then he gets into your head.,5.6
The Mist,126,Belief divides them  mystery surrounds them  but fear changes everything.,6.7
Ex Machina,108,There is nothing more human than the will to survive,7.6
Being John Malkovich,112,Ever wanted to be someone else? Now you can.,7.3
Two Can Play That Game,90,xyz,6.6
Earth to Echo,89,No one will ever believe our story.,5.7
Crazy/Beautiful,99,When it's real. When it's right. Don't let anything stand in your way.,6.6
Letters from Iwo Jima,141,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,7.2
The Astronaut Farmer,104,xyz,6.2
Woo,84,It's Woo's world.. we're just living in it.,5.5
Room,117,Love knows no boundaries,8.1
Dirty Work,82,Revenge is a dish best served DIRTY.,6.5
Serial Mom,95,Every Mom Wants to Be Wanted  But Not For Murder One!,6.4
Dick,94,The unmaking of the president,5.7
Light It Up,99,xyz,6.6
54,106,You've never been anywhere until you've been here,5.5
Bubble Boy,84,Life is an adventure. Don't blow it.,5.1
Birthday Girl,93,xyz,6.1
21 & Over,93,Finally.,5.7
Paris  je t'aime,120,Fall in love with Paris 18 times.,6.8
Resurrecting the Champ,112,xyz,5.9
Admission,107,Let someone in.,5.4
La veuve de Saint-Pierre,112,xyz,6.7
Chloe,96,If the one you love was lying to you  how far would you go to find out the truth?,5.9
Faithful,91,A comedy about a wife  her husband and his hit man.,4.8
Find Me Guilty,125,xyz,6.5
The Perks of Being a Wallflower,102,We are infinite.,7.7
Excessive Force,87,You have the right to remain silent... permanently.,4.5
Infamous,110,There's more to the story than you know,6.4
The Claim,120,Everything has a price.,5.6
The Vatican Tapes,91,For 2 000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.,4.6
Attack the Block,88,Inner City vs. Outer Space,6.3
In the Land of Blood and Honey,127,Love can change what we want… war can change who we are,5.8
The Call,94,There are 188 million 911 calls a year. This one made it personal.,6.6
인천상륙작전,110,The Odds Were 5000 to 1 … One was all They Needed.,5.8
The Crocodile Hunter: Collision Course,90,His First Big-Screen Adventure!,5.3
I Love You Phillip Morris,98,The Conman who wouldn't go straight.,6.4
La Guerre du feu,100,xyz,7.1
Antwone Fisher,120,Antwone Fisher is at war... with himself.,6.7
The Emperor's Club,108,In everyone's life there's that one person who makes all the difference.,6.9
True Romance,120,Stealing  Cheating  Killing. Who said romance was dead?,7.5
Womb,111,What are the consequences of giving birth to your dead boyfriend?,5.9
Glengarry Glen Ross,100,Lie. Cheat. Steal. All in a day’s work.,7.5
The Killer Inside Me,109,Nobody See's It Coming,6
Cat People,118,They are something more than lovers who are about to become something less than human.,6
Sorority Row,101,The Sisters of Theta Pi Are Dying To Keep a Secret.,5.4
The Prisoner of Zenda,101,The most thrilling swordfight ever filmed...,8.4
Lars and the Real Girl,106,The search for true love begins outside the box.,7.1
The Boy in the Striped Pyjamas,94,Lines may divide us  but hope will unite us.,7.7
Dancer in the Dark,140,You don't need eyes to see.,7.6
Oscar and Lucinda,132,They dared to play the game of love  faith  and chance.,6.2
The Funeral,99,One family  one murder  too many lies.,7.3
Solitary Man,90,Ben loves his family almost as much as he loves himself,5.8
Machete,105,He was given an offer he couldn't refuse...,6.3
Casino Jack,108,Honor. Integrity. Principles. Everything is negotiable.,6
The Land Before Time,69,A new adventure is born.,7
태극기 휘날리며,140,xyz,7.4
The Perfect Game,118,Dream for the fences.,6.3
The Exorcist,122,Something almost beyond comprehension is happening to a girl on this street  in this house... and a man has been sent for as a last resort. This man is The Exorcist.,7.5
Jaws,124,Don't go in the water.,7.5
American Pie,95,There's nothing like your first piece.,6.4
Ernest et Célestine,78,Bonnie and Clyde  Sid and Nancy...,7.6
The Golden Child,94,Eddie Murphy is the chosen one.,5.6
Think Like a Man,122,Let the mind games begin.,6.9
Barbershop,102,Everyone's gettin' lined up.,6.2
Star Trek II: The Wrath of Khan,113,At the end of the universe lies the beginning of vengeance.,7.3
Ace Ventura: Pet Detective,86,He's the best there is! (Actually  he's the only one there is.),6.4
WarGames,114,Is it a game  or is it real?,7
Witness,113,A big city cop. A small country boy. They have nothing in common... but a murder.,7
Act of Valor,110,The only easy day was yesterday,6.3
Step Up,104,Every Second Chance Begins With a First Step,6.7
Beavis and Butt-Head Do America,81,Coming to a screen bigger than your TV.,6.5
Jackie Brown,154,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,7.3
Harold & Kumar Escape from Guantanamo Bay,107,This time they're running from the joint.,6.2
Chronicle,84,What are you capable of?,6.6
Yentl,132,xyz,6.2
Time Bandits,116,All the dreams you've ever had and not just the good ones.,6.6
Crossroads,93,Dreams change. Friends are forever,4.7
Project X,88,Witness it,6.5
Patton,172,The Rebel Warrior,7.3
One Hour Photo,96,The things that we fear the most have already happened to us...,6.6
Quarantine,89,Contain The Truth.,5.5
The Eye,98,How can you believe your eyes when they're not yours?,5.5
Johnson Family Vacation,97,Take the ride.,4.7
How High,93,They've got their degrees all rolled up.,6.3
The Muppet Christmas Carol,85,xyz,7.2
Frida,123,Prepare to be seduced,7.3
Katy Perry: Part of Me,93,Be yourself and you can be anything,6.5
The Fault in Our Stars,125,One Sick Love Story,7.6
Rounders,121,Trust everyone... But always cut the cards.,6.9
Top Five,102,xyz,6.3
Prophecy,102,xyz,5.4
Stir of Echoes,99,In every mind there is a door that should never be opened.,6.5
Philomena,98,These two unlikely companions are on a journey to find her long lost son.,7.4
The Upside of Anger,118,Sometimes what tears us apart helps us put it back together.,6.4
The Boys from Brazil,125,If they survive...will we?,6.6
Aquamarine,104,A Fish-Out-Of-Water Comedy.,5.8
Paper Towns,109,Get Lost. Get Found.,6.1
My Baby's Daddy,86,xyz,4.3
Nebraska,115,Life's not about winning or losing. It's about how you get there in the end.,7.4
Tales from the Crypt: Demon Knight,92,Ready for your deadtime story?,6.7
Max Keeble's Big Move,86,His World. His Rules.,5.4
Young Adult,94,Everyone gets old. Not everyone grows up.,5.6
Crank,88,There are a thousand ways to raise your adrenaline. Today  Chev Chelios will need every single one.,6.6
How to Be a Player,93,xyz,5.3
Living Out Loud,100,xyz,5.3
Just Wright,100,In this game every shot counts.,6.1
Rachel Getting Married,113,xyz,6.1
The Postman Always Rings Twice,122,You Will Feel The Heat,6.4
Girl with a Pearl Earring,101,Discover the mystery behind the legend.,6.4
Das Boot,149,When the hunters become the hunted,7.9
Sorority Boys,93,xyz,4.6
About Time,123,What if every moment in life came with a second chance?,7.8
十面埋伏,119,xyz,7.1
Arbitrage,100,Power is the best alibi.,6.1
Project Almanac,106,Today is better the second time around,6.4
Cadillac Records,109,xyz,6.9
Screwed,81,xyz,4.9
Fortress,95,The high-tech prison thirty stories below ground. Built to withstand anything... Execpt an innocent man.,5.7
For Your Consideration,86,xyz,5.9
Celebrity,113,A funny look at people who will do anything to get famous... or stay famous.,6
Running with Scissors,116,Ever have one of those lives?,5.8
From Justin to Kelly,90,The tale of two American Idols.,3
Girl 6,108,A fresh  sassy and sexy comedy!,5.7
In the Cut,119,Everything you know about desire is dead wrong.,4.6
Two Lovers,110,xyz,6.6
Last Orders,109,xyz,6
괴물,119,Monsters are real.,6.7
The Pursuit of D.B. Cooper,100,Who says you can't take it with you?,6.8
Ravenous,100,You Are Who You Eat,6.9
Charlie Bartlett,97,Popularity is a state of mind.,6.5
La grande bellezza,142,xyz,7.3
The Dangerous Lives of Altar Boys,104,xyz,6.4
Stoker,99,Innocence Ends.,6.5
2046,129,Are you still in the mood for love?,6.9
Married Life,90,xyz,6.1
Duma,100,Some friendships are wilder than others,6.9
Ondine,111,The truth is not what you know. It's what you believe.,6.5
Brother,114,Are You Japanese?,6.8
Welcome to Collinwood,86,Five guys. One safe. No brains.,6.2
Critical Care,107,xyz,6.1
The Life Before Her Eyes,90,Your life can change in an instant. That instant can last forever.,6.1
Darling Companion,103,xyz,5.3
Trade,120,Each year  more than 1 000 000 people are trafficked across international borders... against their will.,6.8
Sorstalanság,140,You can close your eyes. You can turn away. But you will never forget.,6.5
Breakfast of Champions,110,xyz,5.2
三枪拍案惊奇,95,xyz,4.8
Cypher,95,Never forget who you are,6.7
南京!南京!,132,xyz,7.6
兔侠传奇,89,From zero to hero.,3
Space Battleship Yamato,131,xyz,6.3
5 Days of War,113,Their only weapon is the truth.,5.8
Triangle,99,A Passage to Hell,6.9
10 Days in a Madhouse,111,xyz,4.3
Heaven is for Real,99,Unlock the mystery,6
Snatch,103,Stealin' Stones and Breakin' Bones.,7.7
Dancin' It's On,89,Dancin' Like You've Never Seen Before,4.3
Pet Sematary,103,Sometimes dead is better.,6.4
まあだだよ,134,xyz,7.5
